CHANTERANNE David,,,Marcel Carné : le môme du cinéma français,,"Saint-Cloud, Ed. Soteca",2012,,Ouvrage,
LANDRY Bernard-G.,,,"Marcel Carné, sa vie, ses films",,"Paris, Jacques Vautrain",1952,,Ouvrage,http://www.marcel-carne.com/carne-et-la-presse/bernard-g-landry-marcel-carne-editions-jacques-vautrain-1952/
,,,"Marcel Carné, ciné-reporter (1929-1934)",Textes de Marcel Carné présentés par Philippe Morisson,"Paris, La Tour Verte",2016,,Ouvrage,
TURK Edward Baron,,,Marcel Carné et l'âge d'or du cinéma français : 1929-1945,,"Paris, L'Harmattan",2002,,Ouvrage,
