Le Progrès de l'Est,,1878-1886
Le Progrès artistique,,1882-1892
Journal des artistes,,1882-1894
Le Journal des Arts,,"1883-1885, 1890"
La Chronique des arts et de la curiosité,,"1883, 1895-1913"
Le Voltaire,,1883-1898
L'Indépendant littéraire,,1887-1889
Revue encyclopédique,,1890-1900
Le Rapide,,1892-1932
Gazette des beaux-arts,,"1895-1913 ; rédacteur en chef, 1902-1913"
L'Image,,"1896-1897, directeur de publication avec Jules Rais"
Art et décoration,,1899-1911
Revue universelle,,1901-1905
