BLONDEAU Natacha,,,"Roger Marx ""fonctionnaire paradoxal"" (1859-1913)",Mémoire de maîtrise sous la direction d'Éric Darragon,Université Paris 1 Panthéon-Sorbonne,1995,,Ouvrage,
MENEUX Catherine (dir.),,,"Roger Marx, un critique aux côtés de Gallé, Monet, Rodin, Gauguin…","(cat. exp. Nancy, musée des Beaux-arts, musée de l'École de Nancy, 6 mai-28 août 2006)","Ville de Nancy, éditions Artlys",2006,,Ouvrage,
MENEUX Catherine,,,"Roger Marx (1859-1913), critique d'art",Thèse de doctorat sous la direction de Bruno Foucart,Université Paris IV-Sorbonne,2007,,Ouvrage,
MENEUX Catherine (dir.),,,Regards de critiques d'art. Autour de Roger Marx (1859-1913),Postface de Pierre Vaisse,"Rennes, Presses universitaires de Rennes/Institut national d'histoire de l'art",2008,,Ouvrage,
MENEUX Catherine,Roger Marx,in Philippe Sénéchal et Claire Barbillon (dir.),Dictionnaire critique des historiens de l'art actifs en France de la Révolution à la Première Guerre mondiale (1789-1920),,"Paris, site web de l'INHA",mis en ligne le 16 juin 2010,,Article,http://www.inha.fr/fr/ressources/publications/publications-numeriques/dictionnaire-critique-des-historiens-de-l-art/marx-roger.html
MENEUX Catherine,MARX Roger,in Claude Schvalberg (dir.),Dictionnaire de la critique d'art à Paris 1890-1969,Préface de Jean-Paul Bouillon,"Rennes, Presses universitaires de Rennes",2014,p. 252-253,Article,
NAUBERT-RISER Constance,Roger Marx (1859-1913),,La Promenade du critique influent. Anthologie de la critique d'art en France 1850-1900,"Textes réunis et présentés par Jean-Paul Bouillon, Nicole Dubreuil-Blondin, Antoinette Ehrard, Constance Naubert-Riser, Paris, Hazan, 1990, p. 357-359 ; nouvelle édition revue, corrigée et mise à jour par Jean-Paul Bouillon et Catherine Méneux","Paris, Hazan",2010,p. 353-355,Article,
