"Le Démocrate",,"1906-1907"
"L’Émancipateur",,"1909-1910"
"La Revue de l'art ancien et moderne",,"1910-1913, 1924-1925, épisodiquement jusqu’en 1937"
"La France libre",,"1918-1919"
