"ADHÉMAR Jean, ARASSE Daniel, ARROUYE Jean et al.",,,Henri Focillon,,"Paris, Centre Georges Pompidou, coll. « Cahiers pour un temps »",1986,,Ouvrage
"BRIEND Christian, THOMINE Alice (éd.)",,,La Vie des formes : Henri Focillon et les arts,"cat. exp., Lyon, Musée des beaux-arts, 22 janvier-26 avril 2004","Gand, Snoeck",2004,,Ouvrage
"DUCCI Annamaria, THOMINE Alice, VARESE Ranieri (éd.)",,,Focillon e l’Italia,"actes du colloque de Ferrare organisé par l’Università degli studi di Ferrara et l’INHA, 16-17 avril 2004","Firenze, Le Lettere, coll. « Quaderni degli Annali dell’Università di Ferrara »",2007,,Ouvrage
WASCHEK Mathias (éd.),,,Relire Focillon,cycle de conférences organisé au musée du Louvre du 27 novembre au 18 décembre 1995,"Paris, École nationale supérieure des beaux-arts, coll. « Principes et théories de l’histoire de l’art »",1998,,Ouvrage
WAT Pierre (éd.),,,Henri Focillon,actes du colloque de Lyon organisé par l’Université Lumière et l’INHA,"Paris, éditions Kimé/INHA, coll. « Regards »",2007,,Ouvrage
WILDENSTEIN Georges (éd.),,,Mélanges Henri Focillon,,"New York, Wildenstein",1944,,Ouvrage
