"KOELLA Rudolf, POLETTI Katia (eds.)",,,Félix Vallotton 1865-1925 Critique d’art,Textes réunis et présentés par Rudolf Koella et Katia Poletti,"Milan, 5 Continents",2012,,Ouvrage
SCHVALBERG Claude,VALLOTTON Félix,in Claude Schvalberg (dir.),Dictionnaire de la critique d’art à Paris 1890-1969,Préface de Jean-Paul Bouillon,"Rennes, Presses universitaires de Rennes",2014,p. 363-364,Article
