BIANCHI-LONGONI Loredana,,,Limbour dans le surréalisme,,"Berne, Peter Lang",1987,,Ouvrage
COLIN-PICON Martine,,,"Georges Limbour, Le Songe autobiographique",,"Paris, éditions Lachenal et Ritter, coll. « Pleine marge »",1994,,Ouvrage
ROSE Marie-Françoise,,,Georges Limbour,"(cat. exp. Le Havre, Bibliothèque municipale du Havre, 15 février-13 mars 1982)","Le Havre, Ville du Havre",1982,,Ouvrage
LEFORT Daniel,,,"Georges Limbour, écrire le merveilleux",Thèse de doctorat sous la direction de J. Chénieux-Gendron et Robert Jouanny,Université Paris IV-Sorbonne,1996,,Ouvrage
NICOL Françoise,,,Georges Limbour. L’aventure critique,,"Rennes, Presses universitaires de Rennes",2014,,Ouvrage
"COLIN-PICON Martine, NICOL Françoise (eds.)",,,"Spectateur des arts, Écrits sur la peinture, 1924-1969",,"Paris, Le Bruit du temps",2013,,Ouvrage
RIALLAND Ivanne,,,L'Imaginaire de Georges Limbour,,"Grenoble, ELLUG, coll. « Ateliers de l'imaginaire ",2009,,Ouvrage
RIALLAND Ivanne,De la critique d'art à la fiction : Georges Limbour chroniqueur,in B. Curatolo et A. Schaffner (dir.),La Chronique journalistique des écrivains (1880-2000),,"Presses universitaires de Dijon, coll. « Écritures »",2010,p. 55-61,Article
RIALLAND Ivanne,"Georges Limbour et Charles Estienne dans les colonnes de ""France Observateur"". La position du chroniqueur",in I. Rialland et D. Vaugeois (dir.),L'Écrivain et le Spécialiste. Écrire sur les arts plastiques au XIXe et au XXe siècles,,"Paris, Garnier, coll. « Rencontres »",2010,p. 117-133,Article
