Commerce,,"1928, 1930, 1932"
Bifur,,1929-1930
Documents,,1929-1930
Le Spectateur des arts,,"1944, directeur de publication"
Comœdia,,1944
Le Pays,,1945
Paysage,,1945-1946
Action,,1945-1948
Les Temps modernes,,1948-1950 puis 1952
Derrière le miroir,,1947-1948 puis 1954-1956
France-observateur,,1954-1956
Art international,,"Zurich, 1957-1959"
Lettres nouvelles,,"1958-1959, 1964-1965 puis 1967"
