"BROGNIEZ Laurence","Marc de Montifaud, une femme en procès avec son siècle",,"Sextant","n° 6, <q>Femmes en lettres</q>",,1996,"p. 55-80","Article"
"BROGNIEZ Laurence","La critique d'art au féminin au XIXe siècle. Marc de Montifaud ou le discours (dé)voilé",,"Art & fact","n° 24, <q>Femmes en lettres</q>",,2005,"p. 15-23","Article"
"BROGNIEZ Laurence","Le naturalisme en bas-bleus : Marc de Montifaud et l'école de la chair",,"Le Magasin du XIXe siècle","n° 11",,2011,"p. 86-91","Article"
"DUBREUIL-BLONDIN Nicole","Marc de Montifaud (1845-1912 ?)",,"La Promenade du critique influent. Anthologie de la critique d'art en France 1850-1900","Textes réunis et présentés par Jean-Paul Bouillon, Nicole Dubreuil-Blondin, Antoinette Ehrard, Constance Naubert-Riser, Paris, Hazan, 1990, p. 185 ; nouvelle édition revue, corrigée et mise à jour par Jean-Paul Bouillon et Catherine Méneux","Paris, Hazan",2010,"p. 184","Article"
"GUENTNET Wendelin Ann","Marc de Montifaud : The <q>esprit critique</q> of an <q>esprit fort</q>","GUENTNER Wendelin Ann (dir.)","Women Art Critics in Nineteenth-Century France. Vanishing Acts",,"Newark, University of Delaware Press",2013,"p. 203-235","Article"
"POULET-MERCIER Marie Lionel",,,"Marc de Montifaud et la critique d'art","Mémoire de Master sous la direction de Eric Darragon","Université Paris 1 Panthéon-Sorbonne",2006,,"Ouvrage"
