FRAVALO Fabienne,"Le Salon de ""L’Art décoratif"" (1905-1906) : exposer l’intérieur en vue d’un art total ?",,Histoire de l’art,n° 70,,2012,p. 125-134,Article
FRAVALO Fabienne,,,"La revue ""Art et Décoration"" (1897-1914), de l’Art nouveau à un art décoratif moderne",Thèse de doctorat sous la direction de Jean-Paul Bouillon et de Régine Bonnefoit,Universités de Clermont-Ferrand et de Neuchâtel,2015,,Ouvrage
