"BERCÉ F., ACHE J., BELIN J.","Anatole de Baudot",,"Les Monuments historiques de la France","t. XI, n° 3",,"juillet-septembre 1965",,"Article"
"BOUDON Françoise","Recherches sur la pensée et l'œuvre d'Anatole de Baudot (1834-1915)",,"Architecture, mouvement, continuité","n° 28",,1973,,"Article"
"DUMONT Marie-Jeanne (dir.)",,,"Rassegna","n° 68, numéro <q>Anatole de Baudot, 1834-1915</q>",,1996,"p. 1-72","Ouvrage"
