FAURE-CONORTON Julien,,,"Caractérisation, contextualisation et réception de la production photographique de Robert Demachy (1859-1936)",Thèse de doctorat en histoire et théorie des arts sous la direction de Michel Frizot,EHESS,2015,,Ouvrage
FAURE-CONORTON Julien,,,"Robert Demachy. Impressions de Normandie (photographies du Calvados, 1880-1920)","(cat. exp. Trouville-sur-Mer, Musée Villa Montebello, 18 juin-25 septembre 2016)","Cabourg, Cahiers du Temps",2016,,Ouvrage
JAY Bill,,,Robert Demachy (1859-1936). Photographs and Essays,,"Londres, Academy Editions",1974,,Ouvrage
NAGGAR Carole,,,Robert Demachy. Photographe,"(cat. exp. Paris, Bagatelle, septembre-octobre 1980)","Paris, Contrejour",1980,,Ouvrage
POIVERT Michel,,,Robert Demachy,,"Paris, Nathan, coll. « Photo Poche »",1997,,Ouvrage
