ARAGON Louis,,,Ecrits sur l’art moderne,"sous la direction de Jean Ristat, préface de Jacques Leenhardt, édition revue et augmentée, 1re édition 1981","Paris, Flammarion",2011,,Ouvrage,
ARROUYE Jean (dir.),,,"Écrire et voir. Aragon, Elsa Triolet et les arts visuels",centre aixois de recherches sur Aragon,"Aix-en-Provence, Publications de l’Université de Provence",1991,,Ouvrage,
LAHANQUE Reynald,,,Le Réalisme socialiste en France (1934-1954),Thèse d’État sous la direction de Guy Borreli,Université Nancy II,2002,,Ouvrage,http://www.louisaragon-elsatriolet.org/spip.php?article337
LAVOINNE Yves,,,Aragon journaliste communiste. Les années d’apprentissage (1933-1953),Thèse de doctorat d’Etat es lettres sous la direction de Michel Mansuy,Université des Sciences humaines de Strasbourg,1984,,Ouvrage,http://www.louisaragon-elsatriolet.org/IMG/pdf/Lavoinne1984
PIEGAY-GROS Nathalie,,,L’Esthétique d’Aragon,,"Paris, Cedès",1997,,Ouvrage,
SCHVALBERG Claude,ARAGON Louis ,in Claude Schvalberg (dir.),Dictionnaire de la critique d’art à Paris 1890-1969,Préface de Jean-Paul Bouillon,"Rennes, Presses universitaires de Rennes",2014,p. 45-46,Article,
VAUGEOIS Dominique,,,"L'épreuve du livre. Henri Matisse, roman d'Aragon",,"Villeneuve d'Ascq, Presses Universitaires du Septentrion",2002,,Ouvrage,
VIGIER Luc,,,"Aragon et le cinéma, Paris",,"Paris, Nouvelles Editions Jean-Michel Place, coll. « le cinéma des poètes »",2015,,Ouvrage,
