"L'Aurore",,"1898-1903"
"La Grande revue",,"1910-1934"
"Les Hommes du jour",,"1910-1913"
"Art et Médecine",,"1931-1936"
"Le Petit Parisien",,"1931-1932"
"L'Amour de l'art",,"1920-1932"
"Europe",,"1923-1937"
"L'Europe nouvelle",,"1919-1928"
"Mercure de France",,"1911-1934"
