"COURTOIS MARTINE et MOREL Jean-Paul",,,"Élie Faure, biographie",,"Paris, Librairie Séguier",1989,,"Ouvrage",
"DESANGES Paul [pseudonyme de DESCHAMPS Paul]",,,"Élie Faure. Regards sur sa vie et son œuvre",,"Genève, Pierre Caillier",1963,,"Ouvrage",
"DESANGES Paul, [pseudonyme de DESCHAMPS Paul]",,,"Élie Faure",,"Paris, Éd. universitaires, coll. « Classiques du XXe siècle »",1966,,"Ouvrage",
"DUMAS Véronique","FAURE, Élie","Philippe Sénéchal et Claire Barbillon (dir.)","Dictionnaire critique des historiens de l’art actifs en France de la Révolution à la Première Guerre mondiale (1789-1920)",,"Paris, site Web de l’INHA","mis en ligne 3 décembre 2009, mis à jour 18 mai 2016",,"Article","https://www.inha.fr/fr/ressources/publications/publications-numeriques/dictionnaire-critique-des-historiens-de-l-art/faure-elie.html"
"FAURE Élie",,,"Œuvres complètes","Yves Lévy (éd.), Notes du tome III","Paris, Jacques Pauvert",1964,,"Ouvrage",
"FAURE Élie",,,"Histoire de l’art","dossiers critiques par Martine CHATELAIN-COURTOIS","Paris, Gallimard, coll. « Folio Essais », 7 vol.","1988 et 1991",,"Ouvrage",
"FAURE Élie",,,"Pour le septième art","textes réunis, présentés et annotés par Jean-Paul MOREL, précédés des hommages de Jean Renoir et de Chaplin","Lausanne, L’Âge d’Homme",2015,,"Ouvrage",
"LÉVY Yves",,,"Écrits sur Élie Faure",,"Bassac, Plein chant",1988,,"Ouvrage",
,"Dossier Élie Faure ",,"Regards croisés","n° 5",,2016,"p. 11-98","Article","https://hicsa.univ-paris1.fr/page.php?r=93&id=838&lang=fr "
