BOUILLER Jean-Roch,,,Définir et juger l’art moderne : les écrits d’André Lhote (1885-1962),Thèse de doctorat sous la direction de Françoise Levaillant,Université Paris 1 Panthéon-Sorbonne,2004,,Ouvrage
"FOSSIER François, MOULIN Hélène (eds.)",,,André Lhote (1885-1962),"(cat. exp. Valence, Musée des Beaux-Arts, 15 juin-28 septembre 2003)","Paris, RMN",2003,,Ouvrage
GOUIN Yvonne,,,"André Lhote, un individuel du cubisme (1910-1920)",Thèse de doctorat sous la direction de Serge Lemoine,Université Paris IV-Sorbonne,1996,,Ouvrage
LEE Jane,"André Lhote - art critic for ""La Nouvelle Revue Française""",in Malcolm Gee (ed.),Art criticism since 1900,,Manchester University Press,1993,p. 85-96,Article
