CAZES Laurent,,,"Relire Jacques-Emile Blanche (1861-1942), Mémorialiste et peintre des artistes et des écrivains de son temps",Mémoire de Master 2 sous la direction d’Éric Darragon,Université Paris 1 Panthéon-Sorbonne,Juin 2008,,Ouvrage
CAZES Laurent,"L’artiste et son décor, dialogue entre Marcel Proust et Jacques-Émile Blanche",in Boris Roman Gibhardt et Julie Ramos (dir.),"Marcel Proust et les arts décoratifs. Poétique, matérialité, histoire","actes du colloque, INHA-Centre allemand d'histoire de l'art, 9-11 février 2012","Paris, Classiques Garnier, coll. « Bibliothèque proustienne »",2013,p. 171-187,Article
COLLET Georges-Paul,,,"Jacques-Emile Blanche, Le peintre-écrivain",,"Paris, Bartillat",2006,,Ouvrage
,,,"Jacques-Emile Blanche : peintre, écrivain, homme du monde","(cat. exp. Évian, Palais Lumière, 7 mai-6 septembre 2015)","Milan, Silvana Editoriale",2015,,Ouvrage
SCHVALBERG Claude,BLANCHE Jacques-Emile,in Claude Schvalberg (dir.),"Dictionnaire de la critique d’art à Paris, 1890-1969",Préface de Jean-Paul Bouillon,"Rennes, Presses Universitaires de Rennes",2014,p. 65-66,Article
