CLATIN Marianne,,,"Frantz Jourdain (1847-1935), architecte, critique d'art et homme de lettres",Thèse de l'Ecole des Chartres sous la direction de Jean-Michel Leniaud,,2000,,Ouvrage,
CLATIN Marianne,"""Un brin de plume au manche du tire-ligne"". Frantz Jourdain (1847-1935)",,Livraisons d'histoire de l'architecture,n° 5,,1er semestre 2003,p. 37-53,Article,http://www.persee.fr/doc/lha_1627-4970_2003_num_5_1_930
CLAUSEN Meredith L.,,,Frantz Jourdain and the Samaritaine : Art Nouveau theory and criticism,,"Leiden, E. J. Brill",1987,,Ouvrage,
