"Le Phare de la Loire",,"1877-1887"
"Le Figaro",,"1885-1891, 1893, 1895-1896, 1898, 1901, 1902, 1907, 1922"
"La Construction moderne",,"1887-1889, 1891-1894, 1896, 1932-1934"
"L'Architecture",,"1889-1904, 1905, 1908, 1914, 1919, 1922, 1926"
"Revue des arts décoratifs",,"1889, 1892-1894, 1898-1902"
"La Plume",,"1893, 1901-1903"
"Art et décoration",,"1898, 1902-1904"
"La Revue",,"1901, 1910-1913"
"L'Art décoratif",,"1902-1903, 1910"
"La Grande revue",,"1907, 1909-1910"
