Les Cahiers d'aujourd'hui,,"1912-1914, 1920-1924 ; directeur de publication"
Vient de paraître,,1925-1931
L'Humanité,,"1935-1939, 1947, 1955-1957, 1961-1963, 1966 puis 1970-1971"
Commune,,1936-1939
Ce Soir,,1937-1939 puis 1946-1953
Arts de France,,1946-1947
Silhouette,,1947-1955
Les Lettres françaises,,1947-1948 puis 1951-1969
