DUVERGET Chantal,,,George Besson critique d’art et collectionneur,Thèse de doctorat sous la direction de Jean-Marc Poinsot,Université Rennes 2,1997,,Ouvrage
DUVERGET Chantal (dir.),,,"George Besson, itinéraire d’un passeur d’art",,"Paris, Somogy Editions d’art, Saint-Claude, musée de l’Abbaye",2012,,Ouvrage
DUVERGET Chantal,"Aragon/Besson, une amitié politique et artistique, 1935-1969",in Corinne Grenouillet (dir.),Recherches croisées,"Aragon-Elsa Triolet, Fonds Elsa Triolet-Aragon","Paris, CNRS, Strasbourg, Presses Universitaires/ERITA","2009, n° 12",p. 237-250,Article
,,,"La donation George et Jacqueline Besson, un album de famille","(cat. exp. Saint-Denis,  Musée d'Art et d'Histoire de Saint-Denis, 7 octobre 1993-28 février 1994)",,1994,,Ouvrage
SCHVALBERG Claude,BESSON George,in Claude Schvalberg (dir.),Dictionnaire de la critique d’art à Paris 1890-1969,Préface de Jean-Paul Bouillon,"Rennes, Presses universitaires de Rennes",2014,p. 153-154,Article
