La Libre revue,,"1883-1884, cofondateur, rédacteur en chef"
La Revue indépendante,,"1884-1885, cofondateur, rédacteur en chef"
L'Art moderne,,"1886-1893, correspondant"
La Vogue,,1886-1889
La Cravache parisienne,,1888-1889
Les Hommes d'aujourd'hui,,"1890-1891, direction de la série consacrée aux peintres"
Le Chat noir,,1891-1893
La Revue blanche,,"1896-1903, rédacteur en chef"
Le Matin,Nouvelles en trois lignes,1905-1906
Bulletin de la vie artistique,,"1919-1926, créateur et directeur de publication"
