BOUILLON Jean-Paul,Félix Fénéon (1861-1944),,La Promenade du critique influent. Anthologie de la critique d’art en France 1850-1900,"Textes réunis et présentés par Jean-Paul Bouillon, Nicole Dubreuil-Blondin, Antoinette Ehrard, Constance Naubert-Riser, Paris, Hazan, 1990, p. 287-288 ; nouvelle édition revue, corrigée et mise à jour par Jean-Paul Bouillon et Catherine Méneux","Paris, Hazan",2010,p. 280-281,Article
"HALPERIN Joan U., AURY Dominique (trad.), ROUGIER Nada (trad.)",,,"Félix Fénéon, Art et anarchie dans le Paris fin de siècle",,"Paris, Gallimard, coll. « NRF biographies »",1991,,Ouvrage
PAULHAN Jean,,,F.F. ou le critique,,"Paris, Gallimard",1945,,Ouvrage
SCHVALBERG Claude,FÉNÉON Félix,in Claude Schvalberg (dir.),Dictionnaire de la critique d’art à Paris 1890-1969,Préface de Jean-Paul Bouillon,"Rennes, Presses universitaires de Rennes",2014,p. 148-149,Article
