"ANTHONIOZ Michel",,,"L’Album Verve",,"Paris, Flammarion",1987,,"Ouvrage"
"ANTHONIOZ Michel (dir.)",,,"Hommage à Tériade","(cat. exp. Paris, Grand Palais, 16 mai-3 septembre 1973)","Paris, Centre national d'art contemporain",1973,,"Ouvrage"
,,,"La donation Alice Tériade : la collection d’un éditeur d’art, Matisse, Picasso, Chagall, Rouault, Giacometti, Miró, Laurens, Léger, catalogue de l’exposition présentée au Musée départemental Matisse","(cat. exp., 26 janvier-26 juillet 2008), textes par Anne Coron et Dominique Szymusiak","Le Cateau-Cambrésis, Gourcuff Gradenigo",2008,,"Ouvrage"
"LEYMARIE Jean",,,"Eloge de Tériade",,"Paris",2002,,"Ouvrage"
"RABINOW Rebecca",,,"The legacy of la Rue Férou : Livres d’artiste created for Tériade by Rouault, Bonnard, Matisse, Léger, Le Corbusier, Chagall, Giacometti and Miró","Thèse de doctorat, Institute of fine Arts","New York University",1995,,"Ouvrage"
"SURLAPIERRE Nicolas (dir.)",,,"Tériade et les livres des peintres","(cat. exp. Le Cateau-Cambrésis, Musée départemental Matisse, 8 novembre 2002-23 mars 2003)","Le Cateau-Cambrésis, Musée départemental Matisse",2002,,"Ouvrage"
"TERIADE",,,"Ecrits sur l’art","édition établie sous la direction de Michel Anthonioz","Paris, Adam Biro",1996,,"Ouvrage"
