"ABRAM Joseph, COHEN Jean-Louis, LAMBERT Guy (dir.)",,,Encyclopédie Perret,"(cat. exp. Le Havre, septembre 2002), commissariat Joseph Abram, Bruno Reichlin","Paris, Monum, éditions du Patrimoine, éditions du Moniteur",2002,p. 309-310,Article
AVILA GOMEZ Andrés,,,L’Architecture des salles de cinéma dans l’imprimé : images et discours dans les revues d’architecture (1920-1940),Thèse de doctorat sous la direction de Philippe Garric,Université Paris 1 Panthéon-Sorbonne,en cours,,Ouvrage
BASSIERES Laurence,,,"Un inventaire architectural et urbain pour le premier Grand Paris : le Casier archéologique et artistique de Paris et du département de la Seine, 1916-1928",Thèse de doctorat d’histoire de l’architecture sous la direction d’Anne-Marie Châtelet,Université de Strasbourg,soutenue le 19 mai 2016,,Ouvrage
