Léon ROSENTHAL,1898,15 janvier 1898,Delacroix lithographe,L'Art et la vie,article,p. 547-551,n° 43
Léon ROSENTHAL,1895,Novembre 1895,"Léopold Robert, peintre de l'Italie [conférence prononcée à la Sorbonne]",La Vie moderne,article,n. r.,
