BOUILLON Jean-Paul,Jean Dolent (1835-1909),,La Promenade du critique influent. Anthologie de la critique d’art en France 1850-1900,"Textes réunis et présentés par Jean-Paul Bouillon, Nicole Dubreuil-Blondin, Antoinette Ehrard, Constance Naubert-Riser, Paris, Hazan, 1990, p. 263-265 ; nouvelle édition revue, corrigée et mise à jour par Jean-Paul Bouillon et Catherine Méneux","Paris, Hazan",2010,p. 263-265,Article
PINCHON Pierre,,,"Jean Dolent et son œuvre (1835-1909). Écrivain, critique d’art et collectionneur",Thèse de doctorat sous la direction d’Éric Darragon,Université Paris 1 Panthéon-Sorbonne,2007,,Ouvrage
PINCHON Pierre,,,"Jean Dolent 1835-1909, écrivain, critique d’art et collectionneur",,"Rennes, Presses universitaires de Rennes",2010,,Ouvrage
PINCHON Pierre,DOLENT Jean,in Claude Schvalberg (dir.),Dictionnaire de la critique d’art à Paris 1890-1969,Préface de Jean-Paul Bouillon,"Rennes, Presses universitaires de Rennes",2014,p. 113-114,Article
