CHALLINE Eléonore,,,Une étrange défaite. Les projets de musées photographiques en France (1850-1945),Thèse de doctorat sous la direction de Michel Poivert,Université Paris 1 Panthéon-Sorbonne,2014,,Ouvrage
CHALLINE Eléonore,"La critique photographique française des années 1930, un terrain politique ?",,Revue Française d’histoire des idées politiques,"numéro spécial ""Art et politique""",,"2014-1, n° 39",p. 27-39,Article
CHALLINE Eléonore,,,Le musée de photographie. Une histoire contrariée,,"Paris, Macula",2017,,Ouvrage
