"DEROUET Christian (dir.)",,,"Cahiers d’art. Musée Zervos à Vézelay",,"Paris, Hazan, Perrigny, Conseil général de l’Yonne",2006,,"Ouvrage"
"DEROUET Christian (dir.)",,,"Zervos et Cahiers d’art. Archives de la Bibliothèque Kandinsky",,"Paris, Centre Pompidou",2011,,"Ouvrage"
"KOLOKYTHA Chara",,,"Formalism and Ideology in 20th Century Art : Cahiers d’Art magazine, gallery and publishing house (1926-1960)","PhD","Northumbria Universirty, Newcastle-upon-Tyne",2016,,"Ouvrage"
"SCHVALBERG Claude",,"ZERVOS Christian","Dictionnaire de la critique d’art à Paris, 1890-1969",,"Rennes, PUR",2014,"p. 381-383","Article"
,,,"Hommage à Christian et Yvonne Zervos","Catalogue préface par Jean Cassou, (Paris, Galeries Nationales du Grand Palais, 11 décembre 1970-18 janvier 1971)","Paris, Centre national d’art contemporain",1970,,"Ouvrage"
