Cordelia,,1897-1898
L'Uovo di Colombo,,1899-1900
La Plume,,1903-1905
Mercure de France,Lettres italiennes,1904-1913
L'Art et les Artistes,Le mouvement artistique à l'étranger. Italie,1906-1913
Comœdia,,1908-1913 puis 1921-1922
Montjoie !,,"1913-1914, directeur de publication"
Le Soleil du Midi,,1915
Revue franco-macédonienne,,1916
L'Amour de l'art,,1921-1922
"Les Nouvelles littéraires, artistiques et scientifiques",,1922-1923
Gazette des sept arts,,"1922-1923, directeur de publication"
Paris-midi,Chronique du septième art. Drames judiciaires,1923
