MATHEWS Patricia Townley,,,Aurier’s Symbolist Art Criticism and Theory,,"Ann Arbor, UMI Research Press",1986,,Ouvrage,
NAUBERT-RISER Constance,Gabriel-Albert Aurier (1865-1892),,La Promenade du critique influent. Anthologie de la critique d’art en France 1850-1900,"Textes réunis et présentés par Jean-Paul Bouillon, Nicole Dubreuil-Blondin, Antoinette Ehrard, Constance Naubert-Riser, Paris, Hazan, 1990, p. 329-331 ; nouvelle édition revue, corrigée et mise à jour par Jean-Paul Bouillon et Catherine Méneux","Paris, Hazan",2010,p. 322-323,Article,
SIMPSON Juliet,,,"Aurier, Symbolism and the visual arts",,"Bern, P. Lang",1999,,Ouvrage,
SCHUH Julien,"La relève critique d'Albert Aurier [communication pour le colloque ""Les revues, laboratoires de la critique (1880-1920)"", Le Mans, 2007]",,HAL,archives-ouvertes,,,,Article,https://hal.archives-ouvertes.fr/hal-00987276
SCHVALBERG Claude,AURIER G.-Albert,in Claude Schvalberg (dir.),Dictionnaire de la critique d’art à Paris 1890-1969,Préface de Jean-Paul Bouillon,"Rennes, Presses universitaires de Rennes",2014,p. 48-49,Article,
