GAUTHIER Ambre,,,Les revues de galeries en France dans l'entre-deux-guerres (1918-1940),Thèse de doctorat en histoire de l’art sous la direction de Rémi Labrusse,Université Paris-Nanterre,2015,,Ouvrage
GEORGEL Pierre,,,La Collection Jean Walter et Paul Guillaume,,"Paris, Gallimard / Réunion des Musées Nationaux",2006,,Ouvrage
"GIRAUDON Colette, HOOG Michel (ed.)",,,"Les Arts à Paris chez Paul Guillaume, 1918-1935","(cat. exp. Paris, Musée de l’Orangerie, 14 septembre 1993-3 janvier 1994)","Paris, Éditions de la Réunion des musées nationaux",1993,,Ouvrage
"GIRAUDON Colette, GUICHARNAUD Hélène, HOOG Michel",,,Musée de l’Orangerie : Catalogue de la collection Jean Walter et Paul Guillaume,,"Paris, Éditions de la Réunion des musées nationaux",1990,,Ouvrage
"GIRAUDON Colette, HOOG Michel (préf.)",,,Paul Guillaume et les peintres du XXe siècle. De l’art nègre à l’avant-garde,,"Paris, La Bibliothèque des Arts",1993,,Ouvrage
,,,"Guillaume Apollinaire, Paul Guillaume, correspondance","édition de Peter Read, introduction de Laurence Campa et Peter Read","Paris, Musée d’Orsay, Musée de l’Orangerie, Gallimard",2016,,Ouvrage
SOMBSTAY Pauline,,,Paul Guillaume et Guillaume Apollinaire. Le parcours en miroir de deux conquérants de l’art moderne (1911-1918),Mémoire de Master 1 sous la direction de Marie Gispert,Université Paris 1 Panthéon-Sorbonne,2011,,Ouvrage
