Musée des deux mondes,,1875-1877
L'Actualité,,"Bruxelles, 1876-1877"
La République des lettres,,1876-1877
L'Artiste,,"Bruxelles, 1877-1878"
La Revue indépendante,,1884-1889
L'Echo de Paris,,1897-1898
