BALDICK Robert,,,La vie de J.-K. Huysmans,traduit de l’anglais par Marcel Thomas,"Paris, Denoël",1958,,Ouvrage
,,,Bulletin de la Société J.-K. Huysmans,,"Paris, Société J.-K. Huysmans",depuis 1928,,Ouvrage
BOUILLON Jean-Paul,"Charles-Marie Georges, dit Joris-Karl Huysmans (1848-1907)",,La Promenade du critique influent. Anthologie de la critique d’art en France 1850-1900,"Textes réunis et présentés par Jean-Paul Bouillon, Nicole Dubreuil-Blondin, Antoinette Ehrard, Constance Naubert-Riser, Paris, Hazan, 1990, p. 277-278 ; nouvelle édition revue, corrigée et mise à jour par Jean-Paul Bouillon et Catherine Méneux","Paris, Hazan",2010,p. 270-272,Article
"GUYAUX André, HECK Christian, KOPP Robert (dir.)",,,Huysmans : une esthétique de la décadence,"actes du colloque de Bâle, Mulhouse et Colmar des 5-6-7 novembre 1984","Paris, H. Champion, coll. « Travaux et recherches des universités rhénanes »",1987,,Ouvrage
JANNEROD Aude,,,"La critique d’art de Joris-Karl Huysmans, Esthétique, poétique, idéologie",Thèse de doctorat en littératures française et francophones sous la direction de Jérôme Thélot,Université Jean Moulin (Lyon),2013,,Ouvrage
LAMBERT Jérémy,,,Peinture et bibelot : prégnance du pictural dans l’œuvre de Joris-Karl Huysmans,,"Paris, H. Champion, coll. « Champion essais »",2012,,Ouvrage
MAINGON Charles,,,L’Univers artistique de J.-K. Huysmans,,"Paris, A. G. Nizet",1977,,Ouvrage
MATHIEU Pierre-Louis,HUYSMANS Joris-Karl ,in Claude Schvalberg (dir.),Dictionnaire de la critique d’art à Paris 1890-1969,Préface de Jean-Paul Bouillon,"Rennes, Presses universitaires de Rennes",2014,p. 201-202,Article
