CAZEMAGE Benjamin,,,La Vie et l'œuvre de Marius-Ary Leblond,,"Nîmes, Ed. Notre-Dame",1969,,Ouvrage
FOURNIER Catherine,,,"Marius-Ary Leblond, écrivains et critiques d'art",Thèse de doctorat sous la direction de Bruno Foucart,Université Paris IV-Sorbonne,2000,,Ouvrage
FOURNIER Catherine,,,"Marius-Ary Leblond, écrivains et critiques d'art",,"Paris, L'Harmattan",2001,,Ouvrage
