"DELSEMME Paul",,,"Teodor de Wyzewa et le cosmopolitisme littéraire en France à l’époque du symbolisme",,"Bruxelles, Presses universitaires de Bruxelles",1967,,"Ouvrage"
"DUVAL Elga Liverman",,,"Teodor de Wyzewa : Critic without a country",,"Genève, E. Droz",1961,,"Ouvrage"
