L'Occident,,1901-1909
Mercure de France,,"1904-1905, 1907"
Notes d'art et d'archéologie,,"1908-1909, 1913, 1924, 1927"
L'Art et les Artistes,,"1909, 1919, 1929"
La Nouvelle revue française,,1909-1912
La Vie,,"1912-1913, 1920"
La Vie et les arts liturgiques,,"1914, 1918, 1921, 1923"
La Revue des jeunes,,"1918-1920, 1923-1924"
L'Amour de l'art,,"1920, 1924, 1930, 1938"
Le Bulletin de la vie artistique,,1920-1924
Beaux-arts,,"1933-1934, 1938, 1942"
L'Art sacré,,1935-1937
